
Время,с. Число_поставленных_задач Состояние_первого_терминала Состояние_второго_терминала Состояние_третьего_терминала Количество_решенных_задач Количество_задач_в_очереди
156 28 Не_активен Активен Не_активен 14 14
159 29 Не_активен Не_активен Активен 14 15
162 30 Активен Не_активен Не_активен 14 16
165 31 Не_активен Не_активен Не_активен 14 17
168 32 Не_активен Не_активен Не_активен 15 17
171 33 Не_активен Не_активен Не_активен 16 17
174 34 Не_активен Не_активен Не_активен 17 17
177 35 Не_активен Не_активен Не_активен 18 17
180 35 Не_активен Не_активен Активен 18 17
183 35 Не_активен Не_активен Активен 18 17
186 35 Не_активен Не_активен Активен 18 17
189 36 Активен Не_активен Не_активен 18 18
192 37 Не_активен Активен Не_активен 18 19
195 38 Не_активен Не_активен Не_активен 18 20
198 39 Не_активен Не_активен Не_активен 19 20
201 40 Не_активен Не_активен Не_активен 20 20
204 41 Не_активен Не_активен Не_активен 21 20
207 42 Не_активен Не_активен Не_активен 22 20
210 42 Активен Не_активен Не_активен 22 20
213 42 Активен Не_активен Не_активен 22 20
216 42 Активен Не_активен Не_активен 22 20
219 43 Не_активен Активен Не_активен 22 21
222 44 Не_активен Не_активен Активен 22 22
225 45 Не_активен Не_активен Не_активен 22 23
228 46 Не_активен Не_активен Не_активен 23 23
231 47 Не_активен Не_активен Не_активен 24 23
234 48 Не_активен Не_активен Не_активен 25 23
237 49 Не_активен Не_активен Не_активен 26 23
240 49 Не_активен Активен Не_активен 26 23
243 49 Не_активен Активен Не_активен 26 23
246 49 Не_активен Активен Не_активен 26 23
249 50 Не_активен Не_активен Активен 26 24
252 51 Активен Не_активен Не_активен 26 25
255 52 Не_активен Не_активен Не_активен 26 26
258 53 Не_активен Не_активен Не_активен 27 26
261 54 Не_активен Не_активен Не_активен 28 26
264 55 Не_активен Не_активен Не_активен 29 26
267 56 Не_активен Не_активен Не_активен 30 26
270 56 Не_активен Не_активен Активен 30 26
273 56 Не_активен Не_активен Активен 30 26
276 56 Не_активен Не_активен Активен 30 26
279 57 Активен Не_активен Не_активен 30 27
282 58 Не_активен Активен Не_активен 30 28
285 59 Не_активен Не_активен Не_активен 30 29
288 60 Не_активен Не_активен Не_активен 31 29
291 61 Не_активен Не_активен Не_активен 32 29
294 62 Не_активен Не_активен Не_активен 33 29
297 63 Не_активен Не_активен Не_активен 34 29
300 63 Активен Не_активен Не_активен 34 29
303 63 Активен Не_активен Не_активен 34 29
306 63 Активен Не_активен Не_активен 34 29
309 64 Не_активен Активен Не_активен 34 30
312 65 Не_активен Не_активен Активен 34 31
315 66 Не_активен Не_активен Не_активен 34 32
318 67 Не_активен Не_активен Не_активен 35 32
321 68 Не_активен Не_активен Не_активен 36 32
324 69 Не_активен Не_активен Не_активен 37 32
327 70 Не_активен Не_активен Не_активен 38 32
330 70 Не_активен Активен Не_активен 38 32
333 70 Не_активен Активен Не_активен 38 32
336 70 Не_активен Активен Не_активен 38 32
339 71 Не_активен Не_активен Активен 38 33
342 72 Активен Не_активен Не_активен 38 34
345 73 Не_активен Не_активен Не_активен 38 35
348 74 Не_активен Не_активен Не_активен 39 35
351 75 Не_активен Не_активен Не_активен 40 35
354 76 Не_активен Не_активен Не_активен 41 35
357 77 Не_активен Не_активен Не_активен 42 35
360 77 Не_активен Не_активен Активен 42 35
363 77 Не_активен Не_активен Активен 42 35
366 77 Не_активен Не_активен Активен 42 35
369 78 Активен Не_активен Не_активен 42 36
372 79 Не_активен Активен Не_активен 42 37
375 80 Не_активен Не_активен Не_активен 42 38
378 81 Не_активен Не_активен Не_активен 43 38
381 82 Не_активен Не_активен Не_активен 44 38
384 83 Не_активен Не_активен Не_активен 45 38
387 84 Не_активен Не_активен Не_активен 46 38
390 84 Активен Не_активен Не_активен 46 38
393 84 Активен Не_активен Не_активен 46 38
396 84 Активен Не_активен Не_активен 46 38
399 85 Не_активен Активен Не_активен 46 39
402 86 Не_активен Не_активен Активен 46 40
405 87 Не_активен Не_активен Не_активен 46 41
408 88 Не_активен Не_активен Не_активен 47 41
411 89 Не_активен Не_активен Не_активен 48 41
414 90 Не_активен Не_активен Не_активен 49 41
417 91 Не_активен Не_активен Не_активен 50 41
420 91 Не_активен Активен Не_активен 50 41
423 91 Не_активен Активен Не_активен 50 41
426 91 Не_активен Активен Не_активен 50 41
429 92 Не_активен Не_активен Активен 50 42
432 93 Активен Не_активен Не_активен 50 43
435 94 Не_активен Не_активен Не_активен 50 44
438 95 Не_активен Не_активен Не_активен 51 44
441 96 Не_активен Не_активен Не_активен 52 44
444 97 Не_активен Не_активен Не_активен 53 44
447 98 Не_активен Не_активен Не_активен 54 44
450 98 Не_активен Не_активен Активен 54 44
453 98 Не_активен Не_активен Активен 54 44
456 98 Не_активен Не_активен Активен 54 44
459 99 Активен Не_активен Не_активен 54 45
462 100 Не_активен Активен Не_активен 54 46
465 101 Не_активен Не_активен Не_активен 54 47
468 102 Не_активен Не_активен Не_активен 55 47
471 103 Не_активен Не_активен Не_активен 56 47
474 104 Не_активен Не_активен Не_активен 57 47
477 105 Не_активен Не_активен Не_активен 58 47
480 105 Активен Не_активен Не_активен 58 47
483 105 Активен Не_активен Не_активен 58 47
486 105 Активен Не_активен Не_активен 58 47
489 106 Не_активен Активен Не_активен 58 48
492 107 Не_активен Не_активен Активен 58 49
495 108 Не_активен Не_активен Не_активен 58 50
498 109 Не_активен Не_активен Не_активен 59 50
501 110 Не_активен Не_активен Не_активен 60 50
504 111 Не_активен Не_активен Не_активен 61 50
507 112 Не_активен Не_активен Не_активен 62 50
510 112 Не_активен Активен Не_активен 62 50
513 112 Не_активен Активен Не_активен 62 50
516 112 Не_активен Активен Не_активен 62 50
519 113 Не_активен Не_активен Активен 62 51
522 114 Активен Не_активен Не_активен 62 52
525 115 Не_активен Не_активен Не_активен 62 53
528 116 Не_активен Не_активен Не_активен 63 53
531 117 Не_активен Не_активен Не_активен 64 53
534 118 Не_активен Не_активен Не_активен 65 53
537 119 Не_активен Не_активен Не_активен 66 53
540 119 Не_активен Не_активен Активен 66 53
543 119 Не_активен Не_активен Активен 66 53
546 119 Не_активен Не_активен Активен 66 53
549 120 Активен Не_активен Не_активен 66 54
552 121 Не_активен Активен Не_активен 66 55
555 122 Не_активен Не_активен Не_активен 66 56
558 123 Не_активен Не_активен Не_активен 67 56
561 124 Не_активен Не_активен Не_активен 68 56
564 125 Не_активен Не_активен Не_активен 69 56
567 126 Не_активен Не_активен Не_активен 70 56
570 126 Активен Не_активен Не_активен 70 56
573 126 Активен Не_активен Не_активен 70 56
576 126 Активен Не_активен Не_активен 70 56
579 127 Не_активен Активен Не_активен 70 57
582 128 Не_активен Не_активен Активен 70 58
585 129 Не_активен Не_активен Не_активен 70 59
588 130 Не_активен Не_активен Не_активен 71 59
591 131 Не_активен Не_активен Не_активен 72 59
594 132 Не_активен Не_активен Не_активен 73 59
597 133 Не_активен Не_активен Не_активен 74 59
600 133 Не_активен Активен Не_активен 74 59
603 133 Не_активен Активен Не_активен 74 59
606 133 Не_активен Активен Не_активен 74 59
609 134 Не_активен Не_активен Активен 74 60
612 135 Активен Не_активен Не_активен 74 61
615 136 Не_активен Не_активен Не_активен 74 62
618 137 Не_активен Не_активен Не_активен 75 62
621 138 Не_активен Не_активен Не_активен 76 62
624 139 Не_активен Не_активен Не_активен 77 62
627 140 Не_активен Не_активен Не_активен 78 62
630 140 Не_активен Не_активен Активен 78 62
633 140 Не_активен Не_активен Активен 78 62
636 140 Не_активен Не_активен Активен 78 62
639 141 Активен Не_активен Не_активен 78 63
642 142 Не_активен Активен Не_активен 78 64
645 143 Не_активен Не_активен Не_активен 78 65
648 144 Не_активен Не_активен Не_активен 79 65
651 145 Не_активен Не_активен Не_активен 80 65
654 146 Не_активен Не_активен Не_активен 81 65
657 147 Не_активен Не_активен Не_активен 82 65
660 147 Активен Не_активен Не_активен 82 65
663 147 Активен Не_активен Не_активен 82 65
666 147 Активен Не_активен Не_активен 82 65
669 148 Не_активен Активен Не_активен 82 66
672 149 Не_активен Не_активен Активен 82 67
675 150 Не_активен Не_активен Не_активен 82 68
678 151 Не_активен Не_активен Не_активен 83 68
681 152 Не_активен Не_активен Не_активен 84 68
684 153 Не_активен Не_активен Не_активен 85 68
687 154 Не_активен Не_активен Не_активен 86 68
690 154 Не_активен Активен Не_активен 86 68
693 154 Не_активен Активен Не_активен 86 68
696 154 Не_активен Активен Не_активен 86 68
699 155 Не_активен Не_активен Активен 86 69
702 156 Активен Не_активен Не_активен 86 70
705 157 Не_активен Не_активен Не_активен 86 71
708 158 Не_активен Не_активен Не_активен 87 71
711 159 Не_активен Не_активен Не_активен 88 71
714 160 Не_активен Не_активен Не_активен 89 71
717 161 Не_активен Не_активен Не_активен 90 71
720 161 Не_активен Не_активен Активен 90 71
723 161 Не_активен Не_активен Активен 90 71
726 161 Не_активен Не_активен Активен 90 71
729 162 Активен Не_активен Не_активен 90 72
732 163 Не_активен Активен Не_активен 90 73
735 164 Не_активен Не_активен Не_активен 90 74
738 165 Не_активен Не_активен Не_активен 91 74
741 166 Не_активен Не_активен Не_активен 92 74
744 167 Не_активен Не_активен Не_активен 93 74
747 168 Не_активен Не_активен Не_активен 94 74
750 168 Активен Не_активен Не_активен 94 74
753 168 Активен Не_активен Не_активен 94 74
756 168 Активен Не_активен Не_активен 94 74
759 169 Не_активен Активен Не_активен 94 75
762 170 Не_активен Не_активен Активен 94 76
765 171 Не_активен Не_активен Не_активен 94 77
768 172 Не_активен Не_активен Не_активен 95 77
771 173 Не_активен Не_активен Не_активен 96 77
774 174 Не_активен Не_активен Не_активен 97 77
777 175 Не_активен Не_активен Не_активен 98 77
780 175 Не_активен Активен Не_активен 98 77
783 175 Не_активен Активен Не_активен 98 77
786 175 Не_активен Активен Не_активен 98 77
789 176 Не_активен Не_активен Активен 98 78
792 177 Активен Не_активен Не_активен 98 79
795 178 Не_активен Не_активен Не_активен 98 80
798 179 Не_активен Не_активен Не_активен 99 80
801 180 Не_активен Не_активен Не_активен 100 80
804 181 Не_активен Не_активен Не_активен 101 80
807 182 Не_активен Не_активен Не_активен 102 80
810 182 Не_активен Не_активен Активен 102 80
813 182 Не_активен Не_активен Активен 102 80
816 182 Не_активен Не_активен Активен 102 80
819 183 Активен Не_активен Не_активен 102 81
822 184 Не_активен Активен Не_активен 102 82
825 185 Не_активен Не_активен Не_активен 102 83
828 186 Не_активен Не_активен Не_активен 103 83
831 187 Не_активен Не_активен Не_активен 104 83
834 188 Не_активен Не_активен Не_активен 105 83
837 189 Не_активен Не_активен Не_активен 106 83
840 189 Активен Не_активен Не_активен 106 83
843 189 Активен Не_активен Не_активен 106 83
846 189 Активен Не_активен Не_активен 106 83
849 190 Не_активен Активен Не_активен 106 84
852 191 Не_активен Не_активен Активен 106 85
855 192 Не_активен Не_активен Не_активен 106 86
858 193 Не_активен Не_активен Не_активен 107 86
861 194 Не_активен Не_активен Не_активен 108 86
864 195 Не_активен Не_активен Не_активен 109 86
867 196 Не_активен Не_активен Не_активен 110 86
870 196 Не_активен Активен Не_активен 110 86
873 196 Не_активен Активен Не_активен 110 86
876 196 Не_активен Активен Не_активен 110 86
879 197 Не_активен Не_активен Активен 110 87
882 198 Активен Не_активен Не_активен 110 88
885 199 Не_активен Не_активен Не_активен 110 89
888 200 Не_активен Не_активен Не_активен 111 89
891 201 Не_активен Не_активен Не_активен 112 89
894 202 Не_активен Не_активен Не_активен 113 89
897 203 Не_активен Не_активен Не_активен 114 89
900 203 Не_активен Не_активен Активен 114 89
903 203 Не_активен Не_активен Активен 114 89
906 203 Не_активен Не_активен Активен 114 89
909 204 Активен Не_активен Не_активен 114 90
912 205 Не_активен Активен Не_активен 114 91
915 206 Не_активен Не_активен Не_активен 114 92
918 207 Не_активен Не_активен Не_активен 115 92
921 208 Не_активен Не_активен Не_активен 116 92
924 209 Не_активен Не_активен Не_активен 117 92
927 210 Не_активен Не_активен Не_активен 118 92
930 210 Активен Не_активен Не_активен 118 92
933 210 Активен Не_активен Не_активен 118 92
936 210 Активен Не_активен Не_активен 118 92
939 211 Не_активен Активен Не_активен 118 93
942 212 Не_активен Не_активен Активен 118 94
945 213 Не_активен Не_активен Не_активен 118 95
948 214 Не_активен Не_активен Не_активен 119 95
951 215 Не_активен Не_активен Не_активен 120 95
954 216 Не_активен Не_активен Не_активен 121 95
957 217 Не_активен Не_активен Не_активен 122 95
960 217 Не_активен Активен Не_активен 122 95
963 217 Не_активен Активен Не_активен 122 95
966 217 Не_активен Активен Не_активен 122 95
969 218 Не_активен Не_активен Активен 122 96
972 219 Активен Не_активен Не_активен 122 97
975 220 Не_активен Не_активен Не_активен 122 98
978 221 Не_активен Не_активен Не_активен 123 98
981 222 Не_активен Не_активен Не_активен 124 98
984 223 Не_активен Не_активен Не_активен 125 98
987 224 Не_активен Не_активен Не_активен 126 98
990 224 Не_активен Не_активен Активен 126 98
993 224 Не_активен Не_активен Активен 126 98
996 224 Не_активен Не_активен Активен 126 98
999 225 Активен Не_активен Не_активен 126 99
1002 226 Не_активен Активен Не_активен 126 100
1005 227 Не_активен Не_активен Не_активен 126 101
1008 228 Не_активен Не_активен Не_активен 127 101
1011 229 Не_активен Не_активен Не_активен 128 101
1014 230 Не_активен Не_активен Не_активен 129 101
1017 231 Не_активен Не_активен Не_активен 130 101
1020 231 Активен Не_активен Не_активен 130 101
1023 231 Активен Не_активен Не_активен 130 101
1026 231 Активен Не_активен Не_активен 130 101
1029 232 Не_активен Активен Не_активен 130 102
1032 233 Не_активен Не_активен Активен 130 103
1035 234 Не_активен Не_активен Не_активен 130 104
1038 235 Не_активен Не_активен Не_активен 131 104
1041 236 Не_активен Не_активен Не_активен 132 104
1044 237 Не_активен Не_активен Не_активен 133 104
1047 238 Не_активен Не_активен Не_активен 134 104
1050 238 Не_активен Активен Не_активен 134 104
1053 238 Не_активен Активен Не_активен 134 104
1056 238 Не_активен Активен Не_активен 134 104
1059 239 Не_активен Не_активен Активен 134 105
1062 240 Активен Не_активен Не_активен 134 106
1065 241 Не_активен Не_активен Не_активен 134 107
1068 242 Не_активен Не_активен Не_активен 135 107
1071 243 Не_активен Не_активен Не_активен 136 107
1074 244 Не_активен Не_активен Не_активен 137 107
1077 245 Не_активен Не_активен Не_активен 138 107
1080 245 Не_активен Не_активен Активен 138 107
1083 245 Не_активен Не_активен Активен 138 107
1086 245 Не_активен Не_активен Активен 138 107
1089 246 Активен Не_активен Не_активен 138 108
1092 247 Не_активен Активен Не_активен 138 109
1095 248 Не_активен Не_активен Не_активен 138 110
1098 249 Не_активен Не_активен Не_активен 139 110
1101 250 Не_активен Не_активен Не_активен 140 110
1104 251 Не_активен Не_активен Не_активен 141 110
1107 252 Не_активен Не_активен Не_активен 142 110
1110 252 Активен Не_активен Не_активен 142 110
1113 252 Активен Не_активен Не_активен 142 110
1116 252 Активен Не_активен Не_активен 142 110
1119 253 Не_активен Активен Не_активен 142 111
1122 254 Не_активен Не_активен Активен 142 112
1125 255 Не_активен Не_активен Не_активен 142 113
1128 256 Не_активен Не_активен Не_активен 143 113
1131 257 Не_активен Не_активен Не_активен 144 113
1134 258 Не_активен Не_активен Не_активен 145 113
1137 259 Не_активен Не_активен Не_активен 146 113
1140 259 Не_активен Активен Не_активен 146 113
1143 259 Не_активен Активен Не_активен 146 113
1146 259 Не_активен Активен Не_активен 146 113
1149 260 Не_активен Не_активен Активен 146 114
1152 261 Активен Не_активен Не_активен 146 115
1155 262 Не_активен Не_активен Не_активен 146 116
1158 263 Не_активен Не_активен Не_активен 147 116
1161 264 Не_активен Не_активен Не_активен 148 116
1164 265 Не_активен Не_активен Не_активен 149 116
1167 266 Не_активен Не_активен Не_активен 150 116
1170 266 Не_активен Не_активен Активен 150 116
1173 266 Не_активен Не_активен Активен 150 116
1176 266 Не_активен Не_активен Активен 150 116
1179 267 Активен Не_активен Не_активен 150 117
1182 268 Не_активен Активен Не_активен 150 118
1185 269 Не_активен Не_активен Не_активен 150 119
1188 270 Не_активен Не_активен Не_активен 151 119
1191 271 Не_активен Не_активен Не_активен 152 119
1194 272 Не_активен Не_активен Не_активен 153 119
1197 273 Не_активен Не_активен Не_активен 154 119
1200 273 Активен Не_активен Не_активен 154 119
1203 273 Активен Не_активен Не_активен 154 119
1206 273 Активен Не_активен Не_активен 154 119
1209 274 Не_активен Активен Не_активен 154 120
1212 275 Не_активен Не_активен Активен 154 121
1215 276 Не_активен Не_активен Не_активен 154 122
1218 277 Не_активен Не_активен Не_активен 155 122
1221 278 Не_активен Не_активен Не_активен 156 122
1224 279 Не_активен Не_активен Не_активен 157 122
1227 280 Не_активен Не_активен Не_активен 158 122
1230 280 Не_активен Активен Не_активен 158 122
1233 280 Не_активен Активен Не_активен 158 122
1236 280 Не_активен Активен Не_активен 158 122
1239 281 Не_активен Не_активен Активен 158 123
1242 282 Активен Не_активен Не_активен 158 124
1245 283 Не_активен Не_активен Не_активен 158 125
1248 284 Не_активен Не_активен Не_активен 159 125
1251 285 Не_активен Не_активен Не_активен 160 125
1254 286 Не_активен Не_активен Не_активен 161 125
1257 287 Не_активен Не_активен Не_активен 162 125
1260 287 Не_активен Не_активен Активен 162 125
1263 287 Не_активен Не_активен Активен 162 125
1266 287 Не_активен Не_активен Активен 162 125
1269 288 Активен Не_активен Не_активен 162 126
1272 289 Не_активен Активен Не_активен 162 127
1275 290 Не_активен Не_активен Не_активен 162 128
1278 291 Не_активен Не_активен Не_активен 163 128
1281 292 Не_активен Не_активен Не_активен 164 128
1284 293 Не_активен Не_активен Не_активен 165 128
1287 294 Не_активен Не_активен Не_активен 166 128
1290 294 Активен Не_активен Не_активен 166 128
1293 294 Активен Не_активен Не_активен 166 128
1296 294 Активен Не_активен Не_активен 166 128
1299 295 Не_активен Активен Не_активен 166 129
1302 296 Не_активен Не_активен Активен 166 130
1305 297 Не_активен Не_активен Не_активен 166 131
1308 298 Не_активен Не_активен Не_активен 167 131
1311 299 Не_активен Не_активен Не_активен 168 131
1314 300 Не_активен Не_активен Не_активен 169 131
1317 301 Не_активен Не_активен Не_активен 170 131
1320 301 Не_активен Активен Не_активен 170 131
1323 301 Не_активен Активен Не_активен 170 131
1326 301 Не_активен Активен Не_активен 170 131
1329 302 Не_активен Не_активен Активен 170 132
1332 303 Активен Не_активен Не_активен 170 133
1335 304 Не_активен Не_активен Не_активен 170 134
1338 305 Не_активен Не_активен Не_активен 171 134
1341 306 Не_активен Не_активен Не_активен 172 134
1344 307 Не_активен Не_активен Не_активен 173 134
1347 308 Не_активен Не_активен Не_активен 174 134
1350 308 Не_активен Не_активен Активен 174 134
1353 308 Не_активен Не_активен Активен 174 134
1356 308 Не_активен Не_активен Активен 174 134
1359 309 Активен Не_активен Не_активен 174 135
1362 310 Не_активен Активен Не_активен 174 136
1365 311 Не_активен Не_активен Не_активен 174 137
1368 312 Не_активен Не_активен Не_активен 175 137
1371 313 Не_активен Не_активен Не_активен 176 137
1374 314 Не_активен Не_активен Не_активен 177 137
1377 315 Не_активен Не_активен Не_активен 178 137
1380 315 Активен Не_активен Не_активен 178 137
1383 315 Активен Не_активен Не_активен 178 137
1386 315 Активен Не_активен Не_активен 178 137
1389 316 Не_активен Активен Не_активен 178 138
1392 317 Не_активен Не_активен Активен 178 139
1395 318 Не_активен Не_активен Не_активен 178 140
1398 319 Не_активен Не_активен Не_активен 179 140
1401 320 Не_активен Не_активен Не_активен 180 140
1404 321 Не_активен Не_активен Не_активен 181 140
1407 322 Не_активен Не_активен Не_активен 182 140
1410 322 Не_активен Активен Не_активен 182 140
1413 322 Не_активен Активен Не_активен 182 140
1416 322 Не_активен Активен Не_активен 182 140
1419 323 Не_активен Не_активен Активен 182 141
1422 324 Активен Не_активен Не_активен 182 142
1425 325 Не_активен Не_активен Не_активен 182 143
1428 326 Не_активен Не_активен Не_активен 183 143
1431 327 Не_активен Не_активен Не_активен 184 143
1434 328 Не_активен Не_активен Не_активен 185 143
1437 329 Не_активен Не_активен Не_активен 186 143
1440 329 Не_активен Не_активен Активен 186 143
1443 329 Не_активен Не_активен Активен 186 143
1446 329 Не_активен Не_активен Активен 186 143
1449 330 Активен Не_активен Не_активен 186 144
1452 331 Не_активен Активен Не_активен 186 145
1455 332 Не_активен Не_активен Не_активен 186 146
1458 333 Не_активен Не_активен Не_активен 187 146
1461 334 Не_активен Не_активен Не_активен 188 146
1464 335 Не_активен Не_активен Не_активен 189 146
1467 336 Не_активен Не_активен Не_активен 190 146
1470 336 Активен Не_активен Не_активен 190 146
1473 336 Активен Не_активен Не_активен 190 146
1476 336 Активен Не_активен Не_активен 190 146
1479 337 Не_активен Активен Не_активен 190 147
1482 338 Не_активен Не_активен Активен 190 148
1485 339 Не_активен Не_активен Не_активен 190 149
1488 340 Не_активен Не_активен Не_активен 191 149
1491 341 Не_активен Не_активен Не_активен 192 149
1494 342 Не_активен Не_активен Не_активен 193 149
1497 343 Не_активен Не_активен Не_активен 194 149
1500 343 Не_активен Активен Не_активен 194 149
1503 343 Не_активен Активен Не_активен 194 149
1506 343 Не_активен Активен Не_активен 194 149
1509 344 Не_активен Не_активен Активен 194 150
1512 345 Активен Не_активен Не_активен 194 151
1515 346 Не_активен Не_активен Не_активен 194 152
1518 347 Не_активен Не_активен Не_активен 195 152
1521 348 Не_активен Не_активен Не_активен 196 152
1524 349 Не_активен Не_активен Не_активен 197 152
1527 350 Не_активен Не_активен Не_активен 198 152
1530 350 Не_активен Не_активен Активен 198 152
1533 350 Не_активен Не_активен Активен 198 152
1536 350 Не_активен Не_активен Активен 198 152
1539 351 Активен Не_активен Не_активен 198 153
1542 352 Не_активен Активен Не_активен 198 154
1545 353 Не_активен Не_активен Не_активен 198 155
1548 354 Не_активен Не_активен Не_активен 199 155
1551 355 Не_активен Не_активен Не_активен 200 155
1554 356 Не_активен Не_активен Не_активен 201 155
1557 357 Не_активен Не_активен Не_активен 202 155
1560 357 Активен Не_активен Не_активен 202 155
1563 357 Активен Не_активен Не_активен 202 155
1566 357 Активен Не_активен Не_активен 202 155
1569 358 Не_активен Активен Не_активен 202 156
1572 359 Не_активен Не_активен Активен 202 157
1575 360 Не_активен Не_активен Не_активен 202 158
1578 361 Не_активен Не_активен Не_активен 203 158
1581 362 Не_активен Не_активен Не_активен 204 158
1584 363 Не_активен Не_активен Не_активен 205 158
1587 364 Не_активен Не_активен Не_активен 206 158
1590 364 Не_активен Активен Не_активен 206 158
1593 364 Не_активен Активен Не_активен 206 158
1596 364 Не_активен Активен Не_активен 206 158
1599 365 Не_активен Не_активен Активен 206 159
1602 366 Активен Не_активен Не_активен 206 160
1605 367 Не_активен Не_активен Не_активен 206 161
1608 368 Не_активен Не_активен Не_активен 207 161
1611 369 Не_активен Не_активен Не_активен 208 161
1614 370 Не_активен Не_активен Не_активен 209 161
1617 371 Не_активен Не_активен Не_активен 210 161
1620 371 Не_активен Не_активен Активен 210 161
1623 371 Не_активен Не_активен Активен 210 161
1626 371 Не_активен Не_активен Активен 210 161
1629 372 Активен Не_активен Не_активен 210 162
1632 373 Не_активен Активен Не_активен 210 163
1635 374 Не_активен Не_активен Не_активен 210 164
1638 375 Не_активен Не_активен Не_активен 211 164
1641 376 Не_активен Не_активен Не_активен 212 164
1644 377 Не_активен Не_активен Не_активен 213 164
1647 378 Не_активен Не_активен Не_активен 214 164
1650 378 Активен Не_активен Не_активен 214 164
1653 378 Активен Не_активен Не_активен 214 164
1656 378 Активен Не_активен Не_активен 214 164
1659 379 Не_активен Активен Не_активен 214 165
1662 380 Не_активен Не_активен Активен 214 166
1665 381 Не_активен Не_активен Не_активен 214 167
1668 382 Не_активен Не_активен Не_активен 215 167
1671 383 Не_активен Не_активен Не_активен 216 167
1674 384 Не_активен Не_активен Не_активен 217 167
1677 385 Не_активен Не_активен Не_активен 218 167
1680 385 Не_активен Активен Не_активен 218 167
1683 385 Не_активен Активен Не_активен 218 167
1686 385 Не_активен Активен Не_активен 218 167
1689 386 Не_активен Не_активен Активен 218 168
1692 387 Активен Не_активен Не_активен 218 169
1695 388 Не_активен Не_активен Не_активен 218 170
1698 389 Не_активен Не_активен Не_активен 219 170
1701 390 Не_активен Не_активен Не_активен 220 170
1704 391 Не_активен Не_активен Не_активен 221 170
1707 392 Не_активен Не_активен Не_активен 222 170
1710 392 Не_активен Не_активен Активен 222 170
1713 392 Не_активен Не_активен Активен 222 170
1716 392 Не_активен Не_активен Активен 222 170
1719 393 Активен Не_активен Не_активен 222 171
1722 394 Не_активен Активен Не_активен 222 172
1725 395 Не_активен Не_активен Не_активен 222 173
1728 396 Не_активен Не_активен Не_активен 223 173
1731 397 Не_активен Не_активен Не_активен 224 173
1734 398 Не_активен Не_активен Не_активен 225 173
1737 399 Не_активен Не_активен Не_активен 226 173
1740 399 Активен Не_активен Не_активен 226 173
1743 399 Активен Не_активен Не_активен 226 173
1746 399 Активен Не_активен Не_активен 226 173
1749 400 Не_активен Активен Не_активен 226 174
1752 401 Не_активен Не_активен Активен 226 175
1755 402 Не_активен Не_активен Не_активен 226 176
1758 403 Не_активен Не_активен Не_активен 227 176
1761 404 Не_активен Не_активен Не_активен 228 176
1764 405 Не_активен Не_активен Не_активен 229 176
1767 406 Не_активен Не_активен Не_активен 230 176
1770 406 Не_активен Активен Не_активен 230 176
