
Время,с. Число_поставленных_задач Состояние_первого_терминала Состояние_второго_терминала Состояние_третьего_терминала Количество_решенных_задач_1_терминалом Количество_решенных_задач_2_терминалом Количество_решенных_задач_3_терминалом
201 16 Не_активен Не_активен Активен 3 3 2
204 16 Не_активен Не_активен Активен 3 3 2
207 16 Не_активен Не_активен Активен 3 3 2
210 18 Не_активен Не_активен Активен 3 3 2
213 18 Не_активен Не_активен Активен 3 3 2
216 19 Активен Не_активен Не_активен 3 3 3
219 19 Активен Не_активен Не_активен 3 3 3
222 19 Активен Не_активен Не_активен 3 3 3
225 19 Активен Не_активен Не_активен 3 3 3
228 19 Активен Не_активен Не_активен 3 3 3
231 19 Активен Не_активен Не_активен 3 3 3
234 19 Активен Не_активен Не_активен 3 3 3
237 20 Не_активен Активен Не_активен 4 3 3
240 21 Не_активен Активен Не_активен 4 3 3
243 21 Не_активен Активен Не_активен 4 3 3
246 21 Не_активен Активен Не_активен 4 3 3
249 21 Не_активен Активен Не_активен 4 3 3
252 21 Не_активен Активен Не_активен 4 3 3
255 21 Не_активен Активен Не_активен 4 3 3
258 22 Не_активен Не_активен Активен 4 4 3
261 22 Не_активен Не_активен Активен 4 4 3
264 22 Не_активен Не_активен Активен 4 4 3
267 22 Не_активен Не_активен Активен 4 4 3
270 24 Не_активен Не_активен Активен 4 4 3
273 24 Не_активен Не_активен Активен 4 4 3
276 24 Не_активен Не_активен Активен 4 4 3
279 25 Активен Не_активен Не_активен 4 4 4
282 25 Активен Не_активен Не_активен 4 4 4
285 25 Активен Не_активен Не_активен 4 4 4
288 25 Активен Не_активен Не_активен 4 4 4
291 25 Активен Не_активен Не_активен 4 4 4
294 25 Активен Не_активен Не_активен 4 4 4
297 25 Активен Не_активен Не_активен 4 4 4
300 28 Не_активен Активен Не_активен 5 4 4
303 28 Не_активен Активен Не_активен 5 4 4
306 28 Не_активен Активен Не_активен 5 4 4
309 28 Не_активен Активен Не_активен 5 4 4
312 28 Не_активен Активен Не_активен 5 4 4
315 28 Не_активен Активен Не_активен 5 4 4
318 28 Не_активен Активен Не_активен 5 4 4
321 29 Не_активен Не_активен Активен 5 5 4
324 29 Не_активен Не_активен Активен 5 5 4
327 29 Не_активен Не_активен Активен 5 5 4
330 30 Не_активен Не_активен Активен 5 5 4
333 30 Не_активен Не_активен Активен 5 5 4
336 30 Не_активен Не_активен Активен 5 5 4
339 30 Не_активен Не_активен Активен 5 5 4
342 31 Активен Не_активен Не_активен 5 5 5
345 31 Активен Не_активен Не_активен 5 5 5
348 31 Активен Не_активен Не_активен 5 5 5
351 31 Активен Не_активен Не_активен 5 5 5
354 31 Активен Не_активен Не_активен 5 5 5
357 31 Активен Не_активен Не_активен 5 5 5
360 33 Активен Не_активен Не_активен 5 5 5
363 34 Не_активен Активен Не_активен 6 5 5
366 34 Не_активен Активен Не_активен 6 5 5
369 34 Не_активен Активен Не_активен 6 5 5
372 34 Не_активен Активен Не_активен 6 5 5
375 34 Не_активен Активен Не_активен 6 5 5
378 34 Не_активен Активен Не_активен 6 5 5
381 34 Не_активен Активен Не_активен 6 5 5
384 35 Не_активен Не_активен Активен 6 6 5
387 35 Не_активен Не_активен Активен 6 6 5
390 36 Не_активен Не_активен Активен 6 6 5
393 36 Не_активен Не_активен Активен 6 6 5
396 36 Не_активен Не_активен Активен 6 6 5
399 36 Не_активен Не_активен Активен 6 6 5
402 36 Не_активен Не_активен Активен 6 6 5
405 37 Активен Не_активен Не_активен 6 6 6
408 37 Активен Не_активен Не_активен 6 6 6
411 37 Активен Не_активен Не_активен 6 6 6
414 37 Активен Не_активен Не_активен 6 6 6
417 37 Активен Не_активен Не_активен 6 6 6
420 39 Активен Не_активен Не_активен 6 6 6
423 39 Активен Не_активен Не_активен 6 6 6
426 40 Не_активен Активен Не_активен 7 6 6
429 40 Не_активен Активен Не_активен 7 6 6
432 40 Не_активен Активен Не_активен 7 6 6
435 40 Не_активен Активен Не_активен 7 6 6
438 40 Не_активен Активен Не_активен 7 6 6
441 40 Не_активен Активен Не_активен 7 6 6
444 40 Не_активен Активен Не_активен 7 6 6
447 41 Не_активен Не_активен Активен 7 7 6
450 42 Не_активен Не_активен Активен 7 7 6
453 42 Не_активен Не_активен Активен 7 7 6
456 42 Не_активен Не_активен Активен 7 7 6
459 42 Не_активен Не_активен Активен 7 7 6
462 42 Не_активен Не_активен Активен 7 7 6
465 42 Не_активен Не_активен Активен 7 7 6
468 43 Активен Не_активен Не_активен 7 7 7
471 43 Активен Не_активен Не_активен 7 7 7
474 43 Активен Не_активен Не_активен 7 7 7
477 43 Активен Не_активен Не_активен 7 7 7
480 45 Активен Не_активен Не_активен 7 7 7
483 45 Активен Не_активен Не_активен 7 7 7
486 45 Активен Не_активен Не_активен 7 7 7
489 46 Не_активен Активен Не_активен 8 7 7
492 46 Не_активен Активен Не_активен 8 7 7
495 46 Не_активен Активен Не_активен 8 7 7
498 46 Не_активен Активен Не_активен 8 7 7
501 46 Не_активен Активен Не_активен 8 7 7
504 46 Не_активен Активен Не_активен 8 7 7
507 46 Не_активен Активен Не_активен 8 7 7
510 49 Не_активен Не_активен Активен 8 8 7
513 49 Не_активен Не_активен Активен 8 8 7
516 49 Не_активен Не_активен Активен 8 8 7
519 49 Не_активен Не_активен Активен 8 8 7
522 49 Не_активен Не_активен Активен 8 8 7
525 49 Не_активен Не_активен Активен 8 8 7
528 49 Не_активен Не_активен Активен 8 8 7
531 50 Активен Не_активен Не_активен 8 8 8
534 50 Активен Не_активен Не_активен 8 8 8
537 50 Активен Не_активен Не_активен 8 8 8
540 51 Активен Не_активен Не_активен 8 8 8
543 51 Активен Не_активен Не_активен 8 8 8
546 51 Активен Не_активен Не_активен 8 8 8
549 51 Активен Не_активен Не_активен 8 8 8
552 52 Не_активен Активен Не_активен 9 8 8
555 52 Не_активен Активен Не_активен 9 8 8
558 52 Не_активен Активен Не_активен 9 8 8
561 52 Не_активен Активен Не_активен 9 8 8
564 52 Не_активен Активен Не_активен 9 8 8
567 52 Не_активен Активен Не_активен 9 8 8
570 54 Не_активен Активен Не_активен 9 8 8
573 55 Не_активен Не_активен Активен 9 9 8
576 55 Не_активен Не_активен Активен 9 9 8
579 55 Не_активен Не_активен Активен 9 9 8
582 55 Не_активен Не_активен Активен 9 9 8
585 55 Не_активен Не_активен Активен 9 9 8
588 55 Не_активен Не_активен Активен 9 9 8
591 55 Не_активен Не_активен Активен 9 9 8
594 56 Активен Не_активен Не_активен 9 9 9
597 56 Активен Не_активен Не_активен 9 9 9
600 57 Активен Не_активен Не_активен 9 9 9
603 57 Активен Не_активен Не_активен 9 9 9
606 57 Активен Не_активен Не_активен 9 9 9
609 57 Активен Не_активен Не_активен 9 9 9
612 57 Активен Не_активен Не_активен 9 9 9
615 58 Не_активен Активен Не_активен 10 9 9
618 58 Не_активен Активен Не_активен 10 9 9
621 58 Не_активен Активен Не_активен 10 9 9
624 58 Не_активен Активен Не_активен 10 9 9
627 58 Не_активен Активен Не_активен 10 9 9
630 60 Не_активен Активен Не_активен 10 9 9
633 60 Не_активен Активен Не_активен 10 9 9
636 61 Не_активен Не_активен Активен 10 10 9
639 61 Не_активен Не_активен Активен 10 10 9
642 61 Не_активен Не_активен Активен 10 10 9
645 61 Не_активен Не_активен Активен 10 10 9
648 61 Не_активен Не_активен Активен 10 10 9
651 61 Не_активен Не_активен Активен 10 10 9
654 61 Не_активен Не_активен Активен 10 10 9
657 62 Активен Не_активен Не_активен 10 10 10
660 63 Активен Не_активен Не_активен 10 10 10
663 63 Активен Не_активен Не_активен 10 10 10
666 63 Активен Не_активен Не_активен 10 10 10
669 63 Активен Не_активен Не_активен 10 10 10
672 63 Активен Не_активен Не_активен 10 10 10
675 63 Активен Не_активен Не_активен 10 10 10
678 64 Не_активен Активен Не_активен 11 10 10
681 64 Не_активен Активен Не_активен 11 10 10
684 64 Не_активен Активен Не_активен 11 10 10
687 64 Не_активен Активен Не_активен 11 10 10
690 66 Не_активен Активен Не_активен 11 10 10
693 66 Не_активен Активен Не_активен 11 10 10
696 66 Не_активен Активен Не_активен 11 10 10
699 67 Не_активен Не_активен Активен 11 11 10
702 67 Не_активен Не_активен Активен 11 11 10
705 67 Не_активен Не_активен Активен 11 11 10
708 67 Не_активен Не_активен Активен 11 11 10
711 67 Не_активен Не_активен Активен 11 11 10
714 67 Не_активен Не_активен Активен 11 11 10
717 67 Не_активен Не_активен Активен 11 11 10
720 70 Активен Не_активен Не_активен 11 11 11
723 70 Активен Не_активен Не_активен 11 11 11
726 70 Активен Не_активен Не_активен 11 11 11
729 70 Активен Не_активен Не_активен 11 11 11
732 70 Активен Не_активен Не_активен 11 11 11
735 70 Активен Не_активен Не_активен 11 11 11
738 70 Активен Не_активен Не_активен 11 11 11
741 71 Не_активен Активен Не_активен 12 11 11
744 71 Не_активен Активен Не_активен 12 11 11
747 71 Не_активен Активен Не_активен 12 11 11
750 72 Не_активен Активен Не_активен 12 11 11
753 72 Не_активен Активен Не_активен 12 11 11
756 72 Не_активен Активен Не_активен 12 11 11
759 72 Не_активен Активен Не_активен 12 11 11
762 73 Не_активен Не_активен Активен 12 12 11
765 73 Не_активен Не_активен Активен 12 12 11
768 73 Не_активен Не_активен Активен 12 12 11
771 73 Не_активен Не_активен Активен 12 12 11
774 73 Не_активен Не_активен Активен 12 12 11
777 73 Не_активен Не_активен Активен 12 12 11
780 75 Не_активен Не_активен Активен 12 12 11
783 76 Активен Не_активен Не_активен 12 12 12
786 76 Активен Не_активен Не_активен 12 12 12
789 76 Активен Не_активен Не_активен 12 12 12
792 76 Активен Не_активен Не_активен 12 12 12
795 76 Активен Не_активен Не_активен 12 12 12
798 76 Активен Не_активен Не_активен 12 12 12
801 76 Активен Не_активен Не_активен 12 12 12
804 77 Не_активен Активен Не_активен 13 12 12
807 77 Не_активен Активен Не_активен 13 12 12
810 78 Не_активен Активен Не_активен 13 12 12
813 78 Не_активен Активен Не_активен 13 12 12
816 78 Не_активен Активен Не_активен 13 12 12
819 78 Не_активен Активен Не_активен 13 12 12
822 78 Не_активен Активен Не_активен 13 12 12
825 79 Не_активен Не_активен Активен 13 13 12
828 79 Не_активен Не_активен Активен 13 13 12
831 79 Не_активен Не_активен Активен 13 13 12
834 79 Не_активен Не_активен Активен 13 13 12
837 79 Не_активен Не_активен Активен 13 13 12
840 81 Не_активен Не_активен Активен 13 13 12
843 81 Не_активен Не_активен Активен 13 13 12
846 82 Активен Не_активен Не_активен 13 13 13
849 82 Активен Не_активен Не_активен 13 13 13
852 82 Активен Не_активен Не_активен 13 13 13
855 82 Активен Не_активен Не_активен 13 13 13
858 82 Активен Не_активен Не_активен 13 13 13
861 82 Активен Не_активен Не_активен 13 13 13
864 82 Активен Не_активен Не_активен 13 13 13
867 83 Не_активен Активен Не_активен 14 13 13
870 84 Не_активен Активен Не_активен 14 13 13
873 84 Не_активен Активен Не_активен 14 13 13
876 84 Не_активен Активен Не_активен 14 13 13
879 84 Не_активен Активен Не_активен 14 13 13
882 84 Не_активен Активен Не_активен 14 13 13
885 84 Не_активен Активен Не_активен 14 13 13
888 85 Не_активен Не_активен Активен 14 14 13
891 85 Не_активен Не_активен Активен 14 14 13
894 85 Не_активен Не_активен Активен 14 14 13
897 85 Не_активен Не_активен Активен 14 14 13
900 87 Не_активен Не_активен Активен 14 14 13
903 87 Не_активен Не_активен Активен 14 14 13
906 87 Не_активен Не_активен Активен 14 14 13
909 88 Активен Не_активен Не_активен 14 14 14
912 88 Активен Не_активен Не_активен 14 14 14
915 88 Активен Не_активен Не_активен 14 14 14
918 88 Активен Не_активен Не_активен 14 14 14
921 88 Активен Не_активен Не_активен 14 14 14
924 88 Активен Не_активен Не_активен 14 14 14
927 88 Активен Не_активен Не_активен 14 14 14
930 91 Не_активен Активен Не_активен 15 14 14
933 91 Не_активен Активен Не_активен 15 14 14
936 91 Не_активен Активен Не_активен 15 14 14
939 91 Не_активен Активен Не_активен 15 14 14
942 91 Не_активен Активен Не_активен 15 14 14
945 91 Не_активен Активен Не_активен 15 14 14
948 91 Не_активен Активен Не_активен 15 14 14
951 92 Не_активен Не_активен Активен 15 15 14
954 92 Не_активен Не_активен Активен 15 15 14
957 92 Не_активен Не_активен Активен 15 15 14
960 93 Не_активен Не_активен Активен 15 15 14
963 93 Не_активен Не_активен Активен 15 15 14
966 93 Не_активен Не_активен Активен 15 15 14
969 93 Не_активен Не_активен Активен 15 15 14
972 94 Активен Не_активен Не_активен 15 15 15
975 94 Активен Не_активен Не_активен 15 15 15
978 94 Активен Не_активен Не_активен 15 15 15
981 94 Активен Не_активен Не_активен 15 15 15
984 94 Активен Не_активен Не_активен 15 15 15
987 94 Активен Не_активен Не_активен 15 15 15
990 96 Активен Не_активен Не_активен 15 15 15
993 97 Не_активен Активен Не_активен 16 15 15
996 97 Не_активен Активен Не_активен 16 15 15
999 97 Не_активен Активен Не_активен 16 15 15
1002 97 Не_активен Активен Не_активен 16 15 15
1005 97 Не_активен Активен Не_активен 16 15 15
1008 97 Не_активен Активен Не_активен 16 15 15
1011 97 Не_активен Активен Не_активен 16 15 15
1014 98 Не_активен Не_активен Активен 16 16 15
1017 98 Не_активен Не_активен Активен 16 16 15
1020 99 Не_активен Не_активен Активен 16 16 15
1023 99 Не_активен Не_активен Активен 16 16 15
1026 99 Не_активен Не_активен Активен 16 16 15
1029 99 Не_активен Не_активен Активен 16 16 15
1032 99 Не_активен Не_активен Активен 16 16 15
1035 100 Активен Не_активен Не_активен 16 16 16
1038 100 Активен Не_активен Не_активен 16 16 16
1041 100 Активен Не_активен Не_активен 16 16 16
1044 100 Активен Не_активен Не_активен 16 16 16
1047 100 Активен Не_активен Не_активен 16 16 16
1050 102 Активен Не_активен Не_активен 16 16 16
1053 102 Активен Не_активен Не_активен 16 16 16
1056 103 Не_активен Активен Не_активен 17 16 16
1059 103 Не_активен Активен Не_активен 17 16 16
1062 103 Не_активен Активен Не_активен 17 16 16
1065 103 Не_активен Активен Не_активен 17 16 16
1068 103 Не_активен Активен Не_активен 17 16 16
1071 103 Не_активен Активен Не_активен 17 16 16
1074 103 Не_активен Активен Не_активен 17 16 16
1077 104 Не_активен Не_активен Активен 17 17 16
1080 105 Не_активен Не_активен Активен 17 17 16
1083 105 Не_активен Не_активен Активен 17 17 16
1086 105 Не_активен Не_активен Активен 17 17 16
1089 105 Не_активен Не_активен Активен 17 17 16
1092 105 Не_активен Не_активен Активен 17 17 16
1095 105 Не_активен Не_активен Активен 17 17 16
1098 106 Активен Не_активен Не_активен 17 17 17
1101 106 Активен Не_активен Не_активен 17 17 17
1104 106 Активен Не_активен Не_активен 17 17 17
1107 106 Активен Не_активен Не_активен 17 17 17
1110 108 Активен Не_активен Не_активен 17 17 17
1113 108 Активен Не_активен Не_активен 17 17 17
1116 108 Активен Не_активен Не_активен 17 17 17
1119 109 Не_активен Активен Не_активен 18 17 17
1122 109 Не_активен Активен Не_активен 18 17 17
1125 109 Не_активен Активен Не_активен 18 17 17
1128 109 Не_активен Активен Не_активен 18 17 17
1131 109 Не_активен Активен Не_активен 18 17 17
1134 109 Не_активен Активен Не_активен 18 17 17
1137 109 Не_активен Активен Не_активен 18 17 17
1140 112 Не_активен Не_активен Активен 18 18 17
1143 112 Не_активен Не_активен Активен 18 18 17
1146 112 Не_активен Не_активен Активен 18 18 17
1149 112 Не_активен Не_активен Активен 18 18 17
1152 112 Не_активен Не_активен Активен 18 18 17
1155 112 Не_активен Не_активен Активен 18 18 17
1158 112 Не_активен Не_активен Активен 18 18 17
1161 113 Активен Не_активен Не_активен 18 18 18
1164 113 Активен Не_активен Не_активен 18 18 18
1167 113 Активен Не_активен Не_активен 18 18 18
1170 114 Активен Не_активен Не_активен 18 18 18
1173 114 Активен Не_активен Не_активен 18 18 18
1176 114 Активен Не_активен Не_активен 18 18 18
1179 114 Активен Не_активен Не_активен 18 18 18
1182 115 Не_активен Активен Не_активен 19 18 18
1185 115 Не_активен Активен Не_активен 19 18 18
1188 115 Не_активен Активен Не_активен 19 18 18
1191 115 Не_активен Активен Не_активен 19 18 18
1194 115 Не_активен Активен Не_активен 19 18 18
1197 115 Не_активен Активен Не_активен 19 18 18
1200 117 Не_активен Активен Не_активен 19 18 18
1203 118 Не_активен Не_активен Активен 19 19 18
1206 118 Не_активен Не_активен Активен 19 19 18
1209 118 Не_активен Не_активен Активен 19 19 18
1212 118 Не_активен Не_активен Активен 19 19 18
1215 118 Не_активен Не_активен Активен 19 19 18
1218 118 Не_активен Не_активен Активен 19 19 18
1221 118 Не_активен Не_активен Активен 19 19 18
1224 119 Активен Не_активен Не_активен 19 19 19
1227 119 Активен Не_активен Не_активен 19 19 19
1230 120 Активен Не_активен Не_активен 19 19 19
1233 120 Активен Не_активен Не_активен 19 19 19
1236 120 Активен Не_активен Не_активен 19 19 19
1239 120 Активен Не_активен Не_активен 19 19 19
1242 120 Активен Не_активен Не_активен 19 19 19
1245 121 Не_активен Активен Не_активен 20 19 19
1248 121 Не_активен Активен Не_активен 20 19 19
1251 121 Не_активен Активен Не_активен 20 19 19
1254 121 Не_активен Активен Не_активен 20 19 19
1257 121 Не_активен Активен Не_активен 20 19 19
1260 123 Не_активен Активен Не_активен 20 19 19
1263 123 Не_активен Активен Не_активен 20 19 19
1266 124 Не_активен Не_активен Активен 20 20 19
1269 124 Не_активен Не_активен Активен 20 20 19
1272 124 Не_активен Не_активен Активен 20 20 19
1275 124 Не_активен Не_активен Активен 20 20 19
1278 124 Не_активен Не_активен Активен 20 20 19
1281 124 Не_активен Не_активен Активен 20 20 19
1284 124 Не_активен Не_активен Активен 20 20 19
1287 125 Активен Не_активен Не_активен 20 20 20
1290 126 Активен Не_активен Не_активен 20 20 20
1293 126 Активен Не_активен Не_активен 20 20 20
1296 126 Активен Не_активен Не_активен 20 20 20
1299 126 Активен Не_активен Не_активен 20 20 20
1302 126 Активен Не_активен Не_активен 20 20 20
1305 126 Активен Не_активен Не_активен 20 20 20
1308 127 Не_активен Активен Не_активен 21 20 20
1311 127 Не_активен Активен Не_активен 21 20 20
1314 127 Не_активен Активен Не_активен 21 20 20
1317 127 Не_активен Активен Не_активен 21 20 20
1320 129 Не_активен Активен Не_активен 21 20 20
1323 129 Не_активен Активен Не_активен 21 20 20
1326 129 Не_активен Активен Не_активен 21 20 20
1329 130 Не_активен Не_активен Активен 21 21 20
1332 130 Не_активен Не_активен Активен 21 21 20
1335 130 Не_активен Не_активен Активен 21 21 20
1338 130 Не_активен Не_активен Активен 21 21 20
1341 130 Не_активен Не_активен Активен 21 21 20
1344 130 Не_активен Не_активен Активен 21 21 20
1347 130 Не_активен Не_активен Активен 21 21 20
1350 133 Активен Не_активен Не_активен 21 21 21
1353 133 Активен Не_активен Не_активен 21 21 21
1356 133 Активен Не_активен Не_активен 21 21 21
1359 133 Активен Не_активен Не_активен 21 21 21
1362 133 Активен Не_активен Не_активен 21 21 21
1365 133 Активен Не_активен Не_активен 21 21 21
1368 133 Активен Не_активен Не_активен 21 21 21
1371 134 Не_активен Активен Не_активен 22 21 21
1374 134 Не_активен Активен Не_активен 22 21 21
1377 134 Не_активен Активен Не_активен 22 21 21
1380 135 Не_активен Активен Не_активен 22 21 21
1383 135 Не_активен Активен Не_активен 22 21 21
1386 135 Не_активен Активен Не_активен 22 21 21
1389 135 Не_активен Активен Не_активен 22 21 21
1392 136 Не_активен Не_активен Активен 22 22 21
1395 136 Не_активен Не_активен Активен 22 22 21
1398 136 Не_активен Не_активен Активен 22 22 21
1401 136 Не_активен Не_активен Активен 22 22 21
1404 136 Не_активен Не_активен Активен 22 22 21
1407 136 Не_активен Не_активен Активен 22 22 21
1410 138 Не_активен Не_активен Активен 22 22 21
1413 139 Активен Не_активен Не_активен 22 22 22
1416 139 Активен Не_активен Не_активен 22 22 22
1419 139 Активен Не_активен Не_активен 22 22 22
1422 139 Активен Не_активен Не_активен 22 22 22
1425 139 Активен Не_активен Не_активен 22 22 22
1428 139 Активен Не_активен Не_активен 22 22 22
1431 139 Активен Не_активен Не_активен 22 22 22
1434 140 Не_активен Активен Не_активен 23 22 22
1437 140 Не_активен Активен Не_активен 23 22 22
1440 141 Не_активен Активен Не_активен 23 22 22
1443 141 Не_активен Активен Не_активен 23 22 22
1446 141 Не_активен Активен Не_активен 23 22 22
1449 141 Не_активен Активен Не_активен 23 22 22
1452 141 Не_активен Активен Не_активен 23 22 22
1455 142 Не_активен Не_активен Активен 23 23 22
1458 142 Не_активен Не_активен Активен 23 23 22
1461 142 Не_активен Не_активен Активен 23 23 22
1464 142 Не_активен Не_активен Активен 23 23 22
1467 142 Не_активен Не_активен Активен 23 23 22
1470 144 Не_активен Не_активен Активен 23 23 22
1473 144 Не_активен Не_активен Активен 23 23 22
1476 145 Активен Не_активен Не_активен 23 23 23
1479 145 Активен Не_активен Не_активен 23 23 23
1482 145 Активен Не_активен Не_активен 23 23 23
1485 145 Активен Не_активен Не_активен 23 23 23
1488 145 Активен Не_активен Не_активен 23 23 23
1491 145 Активен Не_активен Не_активен 23 23 23
1494 145 Активен Не_активен Не_активен 23 23 23
1497 146 Не_активен Активен Не_активен 24 23 23
1500 147 Не_активен Активен Не_активен 24 23 23
1503 147 Не_активен Активен Не_активен 24 23 23
1506 147 Не_активен Активен Не_активен 24 23 23
1509 147 Не_активен Активен Не_активен 24 23 23
1512 147 Не_активен Активен Не_активен 24 23 23
1515 147 Не_активен Активен Не_активен 24 23 23
1518 148 Не_активен Не_активен Активен 24 24 23
1521 148 Не_активен Не_активен Активен 24 24 23
1524 148 Не_активен Не_активен Активен 24 24 23
1527 148 Не_активен Не_активен Активен 24 24 23
1530 150 Не_активен Не_активен Активен 24 24 23
1533 150 Не_активен Не_активен Активен 24 24 23
1536 150 Не_активен Не_активен Активен 24 24 23
1539 151 Активен Не_активен Не_активен 24 24 24
1542 151 Активен Не_активен Не_активен 24 24 24
1545 151 Активен Не_активен Не_активен 24 24 24
1548 151 Активен Не_активен Не_активен 24 24 24
1551 151 Активен Не_активен Не_активен 24 24 24
1554 151 Активен Не_активен Не_активен 24 24 24
1557 151 Активен Не_активен Не_активен 24 24 24
1560 154 Не_активен Активен Не_активен 25 24 24
1563 154 Не_активен Активен Не_активен 25 24 24
1566 154 Не_активен Активен Не_активен 25 24 24
1569 154 Не_активен Активен Не_активен 25 24 24
1572 154 Не_активен Активен Не_активен 25 24 24
1575 154 Не_активен Активен Не_активен 25 24 24
1578 154 Не_активен Активен Не_активен 25 24 24
1581 155 Не_активен Не_активен Активен 25 25 24
1584 155 Не_активен Не_активен Активен 25 25 24
1587 155 Не_активен Не_активен Активен 25 25 24
1590 156 Не_активен Не_активен Активен 25 25 24
1593 156 Не_активен Не_активен Активен 25 25 24
1596 156 Не_активен Не_активен Активен 25 25 24
1599 156 Не_активен Не_активен Активен 25 25 24
1602 157 Активен Не_активен Не_активен 25 25 25
1605 157 Активен Не_активен Не_активен 25 25 25
1608 157 Активен Не_активен Не_активен 25 25 25
1611 157 Активен Не_активен Не_активен 25 25 25
1614 157 Активен Не_активен Не_активен 25 25 25
1617 157 Активен Не_активен Не_активен 25 25 25
1620 159 Активен Не_активен Не_активен 25 25 25
1623 160 Не_активен Активен Не_активен 26 25 25
1626 160 Не_активен Активен Не_активен 26 25 25
1629 160 Не_активен Активен Не_активен 26 25 25
1632 160 Не_активен Активен Не_активен 26 25 25
1635 160 Не_активен Активен Не_активен 26 25 25
1638 160 Не_активен Активен Не_активен 26 25 25
1641 160 Не_активен Активен Не_активен 26 25 25
1644 161 Не_активен Не_активен Активен 26 26 25
1647 161 Не_активен Не_активен Активен 26 26 25
1650 162 Не_активен Не_активен Активен 26 26 25
1653 162 Не_активен Не_активен Активен 26 26 25
1656 162 Не_активен Не_активен Активен 26 26 25
1659 162 Не_активен Не_активен Активен 26 26 25
1662 162 Не_активен Не_активен Активен 26 26 25
1665 163 Активен Не_активен Не_активен 26 26 26
1668 163 Активен Не_активен Не_активен 26 26 26
1671 163 Активен Не_активен Не_активен 26 26 26
1674 163 Активен Не_активен Не_активен 26 26 26
1677 163 Активен Не_активен Не_активен 26 26 26
1680 165 Активен Не_активен Не_активен 26 26 26
1683 165 Активен Не_активен Не_активен 26 26 26
1686 166 Не_активен Активен Не_активен 27 26 26
1689 166 Не_активен Активен Не_активен 27 26 26
1692 166 Не_активен Активен Не_активен 27 26 26
1695 166 Не_активен Активен Не_активен 27 26 26
